fold,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_02,batch_missing_clock_simplex,q50_q90,326216,964423.7267990112,608381.9487223097,610749.9667300697,0.0038772298596073673
otf_02,batch_missing_clock_simplex,q90_q99,91960,418593.6007976532,203412.06860521575,205070.01021750883,0.008084759007592424
otf_02,batch_missing_clock_simplex,q99_q100,3872,26025.29181289673,11256.107922590312,11332.760855334926,0.006763835725742795
otf_02,batch_missing_tail_frozen_q90_q99_q99_q100,q00_q50,315568,539531.6161885262,432157.0323364617,434380.4334344484,0.005118557206656993
otf_02,batch_missing_tail_frozen_q90_q99_q99_q100,q50_q90,326216,964423.7267990112,608762.1470581568,610749.9667300697,0.003254719247150595
otf_02,batch_missing_tail_frozen_q90_q99_q99_q100,q90_q99,91960,418593.6007976532,203412.06860521575,205070.01021750883,0.008084759007592424
otf_02,batch_missing_tail_frozen_q90_q99_q99_q100,q99_q100,3872,26025.29181289673,11256.107922590312,11332.760855334926,0.006763835725742795
otf_02,batch_missing_tail_selection_gated_q90_q99_q99_q100,q00_q50,315568,539531.6161885262,432157.0323364617,434380.4334344484,0.005118557206656993
otf_02,batch_missing_tail_selection_gated_q90_q99_q99_q100,q50_q90,326216,964423.7267990112,608762.1470581568,610749.9667300697,0.003254719247150595
otf_02,batch_missing_tail_selection_gated_q90_q99_q99_q100,q90_q99,91960,418593.6007976532,203720.20226778556,205070.01021750883,0.006582181120933228
otf_02,batch_missing_tail_selection_gated_q90_q99_q99_q100,q99_q100,3872,26025.29181289673,11307.07395455656,11332.760855334926,0.0022666057376719007
otf_03,base_ensemble,q00_q50,546920,919763.2110533714,440919.25355813303,442335.3604223764,0.003201432648050506
otf_03,base_ensemble,q50_q90,169400,501657.9108390808,223445.0909246982,223986.7934743097,0.0024184575403265463
otf_03,base_ensemble,q90_q99,23232,118887.28472137451,42211.26690859691,41908.955063402675,-0.0072135381265621135
otf_03,base_ensemble,q99_q100,3872,25447.910816192627,16850.121882913878,17167.541009841374,0.018489492860132573
otf_03,batch_missing_clock_simplex,q00_q50,546920,919763.2110533714,440997.677006882,442335.3604223764,0.003024138550029365
otf_03,batch_missing_clock_simplex,q50_q90,169400,501657.9108390808,223407.17368350303,223986.7934743097,0.0025877409190785405
otf_03,batch_missing_clock_simplex,q90_q99,23232,118887.28472137451,42399.57018906022,41908.955063402675,-0.011706689534857428
otf_03,batch_missing_clock_simplex,q99_q100,3872,25447.910816192627,16760.766199082478,17167.541009841374,0.02369441322584931
otf_03,batch_missing_tail_frozen_q90_q99_q99_q100,q00_q50,546920,919763.2110533714,440919.25355813303,442335.3604223764,0.003201432648050506
otf_03,batch_missing_tail_frozen_q90_q99_q99_q100,q50_q90,169400,501657.9108390808,223445.0909246982,223986.7934743097,0.0024184575403265463
otf_03,batch_missing_tail_frozen_q90_q99_q99_q100,q90_q99,23232,118887.28472137451,42399.57018906022,41908.955063402675,-0.011706689534857428
otf_03,batch_missing_tail_frozen_q90_q99_q99_q100,q99_q100,3872,25447.910816192627,16760.766199082478,17167.541009841374,0.02369441322584931
otf_03,batch_missing_tail_selection_gated_q90_q99_q99_q100,q00_q50,546920,919763.2110533714,440919.25355813303,442335.3604223764,0.003201432648050506
otf_03,batch_missing_tail_selection_gated_q90_q99_q99_q100,q50_q90,169400,501657.9108390808,223445.0909246982,223986.7934743097,0.0024184575403265463
otf_03,batch_missing_tail_selection_gated_q90_q99_q99_q100,q90_q99,23232,118887.28472137451,42399.57018906022,41908.955063402675,-0.011706689534857428
otf_03,batch_missing_tail_selection_gated_q90_q99_q99_q100,q99_q100,3872,25447.910816192627,16760.766199082478,17167.541009841374,0.02369441322584931
otf_04,base_ensemble,q00_q50,554664,864606.780995369,568131.0778207158,572618.9772491818,0.00783749684655144
otf_04,base_ensemble,q50_q90,163592,530254.9098453522,334422.39320434304,335797.50629609096,0.004095066419389726
otf_04,base_ensemble,q90_q99,20328,100019.95223999023,45458.50728689862,45493.9636242118,0.0007793635570216839
otf_04,base_ensemble,q99_q100,1936,12212.428951263428,6557.290106800111,6601.089303098931,0.0066351467595292535
otf_04,batch_missing_clock_simplex,q00_q50,554664,864606.780995369,569114.3477889565,572618.9772491818,0.006120351576647587
otf_04,batch_missing_clock_simplex,q50_q90,163592,530254.9098453522,334506.90671251,335797.50629609096,0.0038433864438617293
otf_04,batch_missing_clock_simplex,q90_q99,20328,100019.95223999023,45435.81410976495,45493.9636242118,0.0012781808797135419
otf_04,batch_missing_clock_simplex,q99_q100,1936,12212.428951263428,6541.351636205434,6601.089303098931,0.009049668039705527
otf_04,batch_missing_tail_frozen_q90_q99_q99_q100,q00_q50,554664,864606.780995369,568131.0778207158,572618.9772491818,0.00783749684655144
otf_04,batch_missing_tail_frozen_q90_q99_q99_q100,q50_q90,163592,530254.9098453522,334422.39320434304,335797.50629609096,0.004095066419389726
otf_04,batch_missing_tail_frozen_q90_q99_q99_q100,q90_q99,20328,100019.95223999023,45435.81410976495,45493.9636242118,0.0012781808797135419
otf_04,batch_missing_tail_frozen_q90_q99_q99_q100,q99_q100,1936,12212.428951263428,6541.351636205434,6601.089303098931,0.009049668039705527
otf_04,batch_missing_tail_selection_gated_q90_q99_q99_q100,q00_q50,554664,864606.780995369,568131.0778207158,572618.9772491818,0.00783749684655144
otf_04,batch_missing_tail_selection_gated_q90_q99_q99_q100,q50_q90,163592,530254.9098453522,334422.39320434304,335797.50629609096,0.004095066419389726
otf_04,batch_missing_tail_selection_gated_q90_q99_q99_q100,q90_q99,20328,100019.95223999023,45435.81410976495,45493.9636242118,0.0012781808797135419
otf_04,batch_missing_tail_selection_gated_q90_q99_q99_q100,q99_q100,1936,12212.428951263428,6541.351636205434,6601.089303098931,0.009049668039705527
otf_05,base_ensemble,q00_q50,496584,728029.0707006454,418733.34223865904,420438.29382566584,0.004055176733529731
otf_05,base_ensemble,q50_q90,233288,694513.1889896393,336839.4960037845,337650.53881993913,0.0024020184270672207
otf_05,base_ensemble,q90_q99,22264,107447.53103637695,42262.26762276146,42788.3613664344,0.012295253355638969
otf_05,batch_missing_clock_simplex,q00_q50,496584,728029.0707006454,419007.85473637114,420438.29382566584,0.003402256907378276
otf_05,batch_missing_clock_simplex,q50_q90,233288,694513.1889896393,336786.54220858886,337650.53881993913,0.0025588486082974704
otf_05,batch_missing_clock_simplex,q90_q99,22264,107447.53103637695,42225.74884839788,42788.3613664344,0.013148727833215523
otf_05,batch_missing_tail_frozen_q90_q99_q99_q100,q00_q50,496584,728029.0707006454,418733.34223865904,420438.29382566584,0.004055176733529731
otf_05,batch_missing_tail_frozen_q90_q99_q99_q100,q50_q90,233288,694513.1889896393,336839.4960037845,337650.53881993913,0.0024020184270672207
otf_05,batch_missing_tail_frozen_q90_q99_q99_q100,q90_q99,22264,107447.53103637695,42225.74884839788,42788.3613664344,0.013148727833215523
otf_05,batch_missing_tail_selection_gated_q90_q99_q99_q100,q00_q50,496584,728029.0707006454,418733.34223865904,420438.29382566584,0.004055176733529731
otf_05,batch_missing_tail_selection_gated_q90_q99_q99_q100,q50_q90,233288,694513.1889896393,336839.4960037845,337650.53881993913,0.0024020184270672207
otf_05,batch_missing_tail_selection_gated_q90_q99_q99_q100,q90_q99,22264,107447.53103637695,42225.74884839788,42788.3613664344,0.013148727833215523
