fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_03,batch_missing,batch_missing_clock_simplex,q00_q50,331056,376069.2813704014,290099.760943848,291070.385833378,0.003334674143338101
otf_03,batch_missing,batch_missing_clock_simplex,q50_q90,363968,875170.5470972061,627011.6227738592,628632.295052324,0.002578092616654204
otf_03,batch_missing,batch_missing_clock_simplex,q90_q99,48400,208726.45928001404,163866.26379077937,164499.26546450186,0.003848051673270847
otf_03,batch_missing,batch_missing_clock_simplex,q99_q100,3872,24758.774772644043,16928.85370589736,17002.115008727065,0.0043089523151738085
otf_03,batch_missing,clock_weight_delta_blend,q00_q50,331056,376069.2813704014,290108.8958267748,291070.385833378,0.0033032903840433114
otf_03,batch_missing,clock_weight_delta_blend,q50_q90,363968,875170.5470972061,627014.094410229,628632.295052324,0.002574160848609064
otf_03,batch_missing,clock_weight_delta_blend,q90_q99,48400,208726.45928001404,163866.29494737816,164499.26546450186,0.0038478622706087373
otf_03,batch_missing,clock_weight_delta_blend,q99_q100,3872,24758.774772644043,16940.523783752385,17002.115008727065,0.003622562542546337
otf_03,batch_missing,group_select_clock_weight_delta_blend,q00_q50,331056,376069.2813704014,290295.33173168945,291070.385833378,0.002662772097097643
otf_03,batch_missing,group_select_clock_weight_delta_blend,q50_q90,363968,875170.5470972061,626714.9522521711,628632.295052324,0.0030500227481842224
otf_03,batch_missing,group_select_clock_weight_delta_blend,q90_q99,48400,208726.45928001404,163951.244978465,164499.26546450186,0.003331446401839022
otf_03,batch_missing,group_select_clock_weight_delta_blend,q99_q100,3872,24758.774772644043,16955.150200497486,17002.115008727065,0.0027622921151557733
otf_03,batch_missing,selection_chosen_gate,q00_q50,331056,376069.2813704014,290108.8958267748,291070.385833378,0.0033032903840433114
otf_03,batch_missing,selection_chosen_gate,q50_q90,363968,875170.5470972061,627014.094410229,628632.295052324,0.002574160848609064
otf_03,batch_missing,selection_chosen_gate,q90_q99,48400,208726.45928001404,163866.29494737816,164499.26546450186,0.0038478622706087373
otf_03,batch_missing,selection_chosen_gate,q99_q100,3872,24758.774772644043,16940.523783752385,17002.115008727065,0.003622562542546337
