fold,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_03,batch_missing_clock_simplex,q50_q90,308792,756526.5684118271,465391.0619406279,467915.31113088294,0.005394671065912182
otf_03,batch_missing_clock_simplex,q90_q99,65824,277246.8085575104,135788.93125120105,126698.99026034401,-0.07174438385166937
otf_03,batch_missing_clock_simplex,q99_q100,11616,70718.07759857178,48903.203578672124,36759.11719650723,-0.33036936978777076
otf_03,batch_missing_tail_frozen_q99_q100,q00_q50,361064,441255.00540685654,318607.7684216568,320099.27303167805,0.004659506395922497
otf_03,batch_missing_tail_frozen_q99_q100,q50_q90,308792,756526.5684118271,465371.6709893574,467915.31113088294,0.005436112221628209
otf_03,batch_missing_tail_frozen_q99_q100,q90_q99,65824,277246.8085575104,138184.26428695204,126698.99026034401,-0.09065008334326752
otf_03,batch_missing_tail_frozen_q99_q100,q99_q100,11616,70718.07759857178,48903.203578672124,36759.11719650723,-0.33036936978777076
otf_03,batch_missing_tail_selection_gated_q99_q100,q00_q50,361064,441255.00540685654,318607.7684216568,320099.27303167805,0.004659506395922497
otf_03,batch_missing_tail_selection_gated_q99_q100,q50_q90,308792,756526.5684118271,465371.6709893574,467915.31113088294,0.005436112221628209
otf_03,batch_missing_tail_selection_gated_q99_q100,q90_q99,65824,277246.8085575104,138184.26428695204,126698.99026034401,-0.09065008334326752
otf_03,batch_missing_tail_selection_gated_q99_q100,q99_q100,11616,70718.07759857178,48022.22149391051,36759.11719650723,-0.3064030139024525
otf_04,base_ensemble,q00_q50,254584,306689.8972735405,233952.7235485075,234695.41875314122,0.003164506612781004
otf_04,base_ensemble,q50_q90,404624,966879.3028364182,626435.1412836625,627022.8433338036,0.00093728969588458
otf_04,base_ensemble,q90_q99,85184,357202.24842453003,158264.437683274,159163.21630261623,0.005646899077695
otf_04,base_ensemble,q99_q100,8712,54990.5258102417,36305.89949345323,36814.19084145234,0.013806940649277566
otf_04,batch_missing_clock_simplex,q00_q50,254584,306689.8972735405,233987.68104252496,234695.41875314122,0.0030155582685688076
otf_04,batch_missing_clock_simplex,q50_q90,404624,966879.3028364182,627291.8755023496,627022.8433338036,-0.00042906278679666343
otf_04,batch_missing_clock_simplex,q90_q99,85184,357202.24842453003,158420.86024414506,159163.21630261623,0.004664118228546732
otf_04,batch_missing_clock_simplex,q99_q100,8712,54990.5258102417,36150.23989240247,36814.19084145234,0.01803519061193859
otf_04,batch_missing_tail_frozen_q99_q100,q00_q50,254584,306689.8972735405,233952.7235485075,234695.41875314122,0.003164506612781004
otf_04,batch_missing_tail_frozen_q99_q100,q50_q90,404624,966879.3028364182,626435.1412836625,627022.8433338036,0.00093728969588458
otf_04,batch_missing_tail_frozen_q99_q100,q90_q99,85184,357202.24842453003,158264.437683274,159163.21630261623,0.005646899077695
otf_04,batch_missing_tail_frozen_q99_q100,q99_q100,8712,54990.5258102417,36150.23989240247,36814.19084145234,0.01803519061193859
otf_04,batch_missing_tail_selection_gated_q99_q100,q00_q50,254584,306689.8972735405,233952.7235485075,234695.41875314122,0.003164506612781004
otf_04,batch_missing_tail_selection_gated_q99_q100,q50_q90,404624,966879.3028364182,626435.1412836625,627022.8433338036,0.00093728969588458
otf_04,batch_missing_tail_selection_gated_q99_q100,q90_q99,85184,357202.24842453003,158264.437683274,159163.21630261623,0.005646899077695
otf_04,batch_missing_tail_selection_gated_q99_q100,q99_q100,8712,54990.5258102417,36150.23989240247,36814.19084145234,0.01803519061193859
otf_05,base_ensemble,q00_q50,317504,353294.62002682686,273114.96395922324,273924.27318311756,0.0029544998495014685
otf_05,base_ensemble,q50_q90,373648,884668.1487503052,633052.3194730694,634774.35518872,0.0027128312629117746
otf_05,base_ensemble,q90_q99,51304,216188.6834564209,172578.26902691688,173237.8645698108,0.0038074559769704086
otf_05,base_ensemble,q99_q100,4840,30573.610286712646,19161.31567969834,19267.568417282568,0.005514589868481967
otf_05,batch_missing_clock_simplex,q00_q50,317504,353294.62002682686,272813.9094997241,273924.27318311756,0.004053542500964014
otf_05,batch_missing_clock_simplex,q50_q90,373648,884668.1487503052,632941.339801458,634774.35518872,0.0028876645256362687
otf_05,batch_missing_clock_simplex,q90_q99,51304,216188.6834564209,172421.9904704657,173237.8645698108,0.004709559895413662
otf_05,batch_missing_clock_simplex,q99_q100,4840,30573.610286712646,19029.535227807155,19267.568417282568,0.012354085597116815
otf_05,batch_missing_tail_frozen_q99_q100,q00_q50,317504,353294.62002682686,273114.96395922324,273924.27318311756,0.0029544998495014685
otf_05,batch_missing_tail_frozen_q99_q100,q50_q90,373648,884668.1487503052,633052.3194730694,634774.35518872,0.0027128312629117746
otf_05,batch_missing_tail_frozen_q99_q100,q90_q99,51304,216188.6834564209,172578.26902691688,173237.8645698108,0.0038074559769704086
otf_05,batch_missing_tail_frozen_q99_q100,q99_q100,4840,30573.610286712646,19029.535227807155,19267.568417282568,0.012354085597116815
otf_05,batch_missing_tail_selection_gated_q99_q100,q00_q50,317504,353294.62002682686,273114.96395922324,273924.27318311756,0.0029544998495014685
otf_05,batch_missing_tail_selection_gated_q99_q100,q50_q90,373648,884668.1487503052,633052.3194730694,634774.35518872,0.0027128312629117746
otf_05,batch_missing_tail_selection_gated_q99_q100,q90_q99,51304,216188.6834564209,172578.26902691688,173237.8645698108,0.0038074559769704086
otf_05,batch_missing_tail_selection_gated_q99_q100,q99_q100,4840,30573.610286712646,19029.535227807155,19267.568417282568,0.012354085597116815
