fold,time_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_03,8,230400,515822.75,308670.56,304774.93626782653,304775.16386036266,0.012620660035157938,0.012619922703634323,-7.373315235781558e-7
rw_02,2,225500,642902.44,277919.4,274390.399252589,274390.8847597167,0.012697950981647277,0.012696204046684145,-1.746934963137288e-6
rw_02,5,225500,642902.44,214130.08,208546.84426397516,208547.57716746844,0.026074028973013252,0.026070606270795493,-3.422702217711914e-6
rw_05,9,157080,323340.0,226677.14,224247.2328294342,224248.7795551721,0.010719686108912496,0.010712862634195686,-6.823474716752757e-6
rw_01,5,223000,629715.2,288351.22,286572.990158874,286575.22377891437,0.006166884256063154,0.006159138077461712,-7.74617860133988e-6
rw_02,7,225500,642902.44,268545.47,261120.27916719305,261138.81365762666,0.02764965507468442,0.027580637002922237,-0.00006901807176222883
rw_05,0,231000,475500.03,624885.94,617987.2879555828,618032.1054934205,0.01103985404443053,0.010968132894780491,-0.00007172114965007002
rw_01,8,223000,629715.2,428744.88,421729.39990744676,421772.7591058738,0.016362819713129473,0.016261689178503125,-0.00010113053462635704
rw_02,0,225500,642902.44,800393.06,774098.6994128099,774185.2725883208,0.03285181283938243,0.03274364951367781,-0.00010816332570455938
rw_03,0,230400,515822.75,631149.3,623475.7004603563,623545.5357107779,0.012158156378636154,0.012047508630094739,-0.00011064774854134631
rw_01,2,223000,629715.2,342485.7,339671.05577414617,339726.44611085835,0.008218246275923047,0.008056515906644024,-0.00016173036927910172
rw_01,0,223000,629715.2,999924.7,979597.7144323363,979852.2741605138,0.020328504058125585,0.020073925156974592,-0.0002545789011509901
