feature,transform,alpha,train_r2,valid_r2,train_corr,valid_corr,train_tail_low_mean,train_tail_high_mean,train_tail_spread,valid_tail_low_mean,valid_tail_high_mean,valid_tail_spread,train_binned_mi,valid_binned_mi
feature_77,positive_indicator,-0.010257374360185301,0.000029918632536762857,-0.00005685458734872029,-0.003285671343801852,0.009939014940369143,-0.00333613333041812,-0.010257374360185307,-0.006921241029767187,-0.015219822938494006,0.010175915444473122,0.025395738382967128,0.003180866566414803,0.008675010946882807
feature_34,sign,0.0038325134257288,0.000020128503658845,-0.00005691636248283949,0.0048619692495459246,0.002644898622910574,-0.009206359265223972,-0.0008821616259799674,0.008324197639244005,-0.015952623624800797,-0.010020257298208832,0.005932366326591965,0.0006684449468007695,0.00027604026401815496
feature_08,top05_indicator,0.03247688708497771,0.00006441831935155573,-0.00005691666438467635,0.009417898305162788,0.0018966852399496766,-0.006509848498016377,0.03247688708497771,0.038986735582994085,-0.011656533149054881,-0.011301572371588462,0.000354960777466419,0.0,2.2204460492503128e-16
feature_78,positive_indicator,-0.017427351337411676,0.00008907128349244786,-0.00005727841470926087,-0.007730342072096272,0.005364381470893666,-0.001326623335372806,-0.017427351337411676,-0.01610072800203887,-0.01345882105153638,0.00006234572987281259,0.013521166781409194,0.003944551462281582,0.009210425690546066
feature_53,top05_indicator,0.015007152400387472,0.000014253547434783798,-0.00005767413986568215,0.00509509187288139,-0.003747969992437842,-0.005730019406025649,0.015007152400387472,0.020737171806413122,-0.010526401346295185,-0.011301572371588462,-0.0007751710252932777,0.0,2.2204460492503128e-16
feature_56,abs_z,0.003069484261448455,0.000012886798670730393,-0.00005989783423832051,0.013319641137541789,0.004551365085160004,0.012856420033714094,0.013529376591041047,0.0006729565573269525,0.021038769305234503,0.0166668832939601,-0.0043718860112744035,0.009582226480075454,0.0085046807429176
feature_58,top05_indicator,0.015397599668099426,0.000015549718921592515,-0.00006175121439344622,0.0052938137589318745,-0.003968266745884716,-0.00578616875008666,0.01539759966809943,0.02118376841818609,-0.010474596175226844,-0.011301572371588462,-0.000826976196361618,0.0,2.2204460492503128e-16
feature_32,top05_indicator,0.003934139985912028,9.44282492088e-7,-0.00006182520155917359,0.002200080306892663,-0.011819457522430445,-0.005177989173286656,0.0039341399859120305,0.009112129159198686,-0.006100799907556484,-0.03418474486524057,-0.028083944957684084,0.0,0.0002484022781282791
feature_42,rank,-0.009602705249796725,9.759024593547494e-6,-0.00006186031230659417,-0.003237526088281488,0.008847604478632962,0.001027961356989356,-0.02066687756180058,-0.021694838918789934,0.005459878069278746,-0.0371841159619126,-0.042643994031191346,0.012644275599995564,0.01107473032806489
feature_33,z,-0.0040516417001340895,0.0000212821204635949,-0.00006344874711627924,-0.0046823612686276534,0.006667817836099298,0.019073767647146612,0.009717935518599124,-0.009355832128547488,-0.04567261920957612,0.010874612524173936,0.05654723173375005,0.005518114226893311,0.006941862645210838
feature_70,positive_indicator,-0.013282646208680459,0.00007717197758738692,-0.00006372928973807923,-0.006821577567689756,0.008204918265194277,-0.0007823825470383034,-0.013282646208680459,-0.012500263661642155,-0.01647835413022618,-0.00022315657078812178,0.01625519755943806,0.006428727788759788,0.0059271967715820734
feature_74,positive_indicator,-0.01933969879958191,0.00011302966741544296,-0.0000641369256733082,-0.009070527035637705,0.004879115169800075,-0.0006510944600694397,-0.019339698799581913,-0.018688604339512475,-0.013335291931705335,-0.0013296228109994034,0.012005669120705931,0.0032604493577679267,0.009417974943685535
feature_45,square_z,0.003974840498977242,0.0000573119090715446,-0.00006492783366729427,0.013307538919381573,0.00560371901709185,0.01344281626347465,0.05998216137808566,0.04653934511461101,-0.03916953441428606,0.02172738849496948,0.06089692290925554,0.007056951453627726,0.008575198627731796
feature_51,top05_indicator,-0.010140359616206457,6.293598770690245e-6,-0.00006508757987466751,-0.0013587539673687067,0.01322758578536766,-0.004521352434806862,-0.010140359616206459,-0.005619007181399597,-0.014752233300096517,0.0318948607075734,0.04664709400766992,0.0,0.0023344866474513193
feature_24,top05_indicator,0.03101831430050947,0.0000949882668733748,-0.00006551817215161293,0.011674246980652114,-0.009510773607538995,-0.007550944540787001,0.031018314300509463,0.038569258841296465,-0.010577847398516343,-0.011301572371588462,-0.0007237249730721197,0.0,2.2204460492503128e-16
feature_62,top05_indicator,0.06071491668517329,0.00018943217244316024,-0.00006558933010958334,0.01513192778081846,-0.005010007980753074,-0.007323688873989494,0.060714916685173294,0.06803860555916279,-0.01100772330048082,-0.011301572371588462,-0.0002938490711076429,0.0,2.2204460492503128e-16
feature_74,rank,-0.02741268131103052,0.0000790397032248702,-0.000067891756007743,-0.009388440519407858,-0.0030600307364225476,-0.0056617763584939805,-0.08234913436620647,-0.0766873580077125,0.013658757297800476,0.0901360356668929,0.07647727836909243,0.008020993375956196,0.016625249442359467
