baseline_model,residual_feature,residual_transform,alpha,baseline_valid_r2,final_valid_r2,delta_r2
ridge_rank_alpha10000,feature_36,bottom05_indicator,0.01709796336286848,0.0020924724141028195,0.00216317466383642,0.00007070224973360073
ridge_rank_alpha10000,feature_67,abs_z,-0.004847326978793458,0.0020924724141028195,0.0021624210015401824,0.00006994858743736287
ridge_rank_alpha10000,feature_49,abs_z,0.003527919647158859,0.0020924724141028195,0.002159937841092252,0.00006746542698943259
ridge_rank_alpha10000,feature_00,square_z,-0.0006853906592107404,0.0020924724141028195,0.002159658763169703,0.00006718634906688337
ridge_rank_alpha10000,feature_02,abs_z,-0.0032247289730506167,0.0020924724141028195,0.0021594383031301456,0.00006696588902732614
ridge_rank_alpha10000,feature_03,top05_indicator,-0.008508859276751707,0.0020924724141028195,0.0021586390651419096,0.00006616665103909014
ridge_rank_alpha10000,feature_38,z,-0.002824343628779373,0.0020924724141028195,0.0021581122405088804,0.00006563982640606092
ridge_rank_alpha10000,feature_59,bottom05_indicator,-0.021667623541724485,0.0020924724141028195,0.002157004318870448,0.00006453190476762849
ridge_rank_alpha10000,feature_58,abs_z,0.006317143251963629,0.0020924724141028195,0.002156842461184749,0.00006437004708192973
ridge_rank_alpha10000,feature_58,square_z,0.0004761009631229428,0.0020924724141028195,0.002155333004170812,0.00006286059006799238
ridge_rank_alpha10000,feature_58,rank,0.006798854819314761,0.0020924724141028195,0.002150445446741589,0.00005797303263876952
ridge_rank_alpha10000,feature_41,top05_indicator,0.03015608463230222,0.0020924724141028195,0.0021492974788357433,0.000056825064732923813
ridge_rank_alpha10000,feature_70,z,-0.005210213497398334,0.0020924724141028195,0.0021475747693983083,0.00005510235529548879
ridge_rank_alpha10000,feature_12,abs_z,-0.0047168114295978985,0.0020924724141028195,0.0021473006121791594,0.000054828198076339874
ridge_rank_alpha10000,feature_12,top05_indicator,-0.029531974818011703,0.0020924724141028195,0.002146173113128036,0.00005370069902521646
ridge_rank_alpha10000,feature_67,z,-0.0047887208826244134,0.0020924724141028195,0.002145951836941329,0.00005347942283850937
ridge_rank_alpha10000,feature_00,top05_indicator,-0.0165040482079362,0.0020924724141028195,0.0021430574789330636,0.000050585064830244164
ridge_rank_alpha10000,feature_00,abs_z,-0.0015122241158691666,0.0020924724141028195,0.0021429282133562655,0.00005045579925344601
