left,right,interaction,alpha,valid_r2,valid_corr
feature_17,feature_48,sign_product,0.001997471049803897,0.00005940452832153831,0.01326812414952607
feature_16,feature_48,z_diff,0.001079004046462633,0.000059044168266964014,0.02524147299903324
feature_04,feature_49,abs_z_diff,0.005730289041864082,0.000058264660571794025,0.015237817371115434
feature_45,feature_49,rank_diff,-0.027498286495059577,0.000058088609860562634,-0.008185781336832065
feature_47,feature_15,rank_product,0.06732310815246453,0.00005764977015421113,0.007636221583141882
feature_15,feature_60,abs_z_diff,0.0014796686603805516,0.000057414281534162726,0.02679139364969715
feature_60,feature_66,z_product,-0.003353975487899793,0.000056922902277767307,-0.008670358121024744
feature_04,feature_36,z_product,0.004696593734244477,0.000056562295899786896,0.007958023553438338
feature_19,feature_07,abs_z_diff,0.0019294282179941908,0.00005642477020240122,0.01843862693992466
feature_47,feature_19,rank_product,-0.04430759440468562,0.00005576760093262134,-0.007942038381662637
feature_47,feature_17,rank_product,0.1324090104514208,0.00005386819633446116,0.009862488160958497
feature_15,feature_49,z_diff,0.002463130383067215,0.00005323147097224812,0.009890609013281348
feature_17,feature_49,z_diff,0.001732116948418249,0.000053040469129239654,0.01356533362281665
feature_60,feature_49,abs_z_diff,0.0036836433475978176,0.000052261984407553363,0.022476175848894882
feature_17,feature_66,rank_product,0.024954739646131305,0.00005075706931434443,0.00959306032713247
feature_17,feature_19,z_product,0.007156911499604138,0.000050355603235741064,0.007311044790429357
feature_48,feature_49,z_diff,-0.0021170294311943037,0.00005033488193539881,-0.013756651654685753
feature_45,feature_66,rank_product,-0.025575169900994617,0.00005001470680754405,-0.010401661735168556
feature_47,feature_16,abs_z_diff,0.0002740269164656811,0.000049668423656612504,0.03614886861563885
feature_16,feature_07,abs_z_diff,0.001880873296621204,0.00004877191696039951,0.017405717801034913
feature_47,feature_56,rank_diff,0.03648960383837165,0.00004804822674575604,0.008142128527088134
feature_66,feature_56,rank_product,-0.02746876036293146,0.00004596152327895897,-0.008902933470891685
feature_17,feature_16,abs_z_diff,0.005701275358494014,0.000045612077015699803,0.021527623119623036
feature_04,feature_56,abs_z_diff,0.004813832816518332,0.00004554341601337164,0.014890576611301824
feature_15,feature_66,rank_product,0.024089647948084037,0.00004338308262452628,0.008487831649838753
