clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,clock_weight_shrink,q90_q99,1300992,5965381.824459076,3317848.9333363343,3354649.5665766574,0.010970038005453153
batch_missing,clock_weight_shrink,q99_q100,121000,828618.9301757812,412882.1040525467,415573.44665191753,0.006476214062890007
none,base_ensemble,q00_q50,5544704,9122679.177062988,6227781.9726513075,6278837.528498993,0.008131370753893474
none,base_ensemble,q50_q90,4061728,12118261.292545319,7281695.241681379,7345827.850183189,0.00873048073134608
none,base_ensemble,q90_q99,1300992,5965381.824459076,3317561.9246089235,3354649.5665766574,0.01105559350736629
none,base_ensemble,q99_q100,121000,828618.9301757812,412218.74689752125,415573.44665191753,0.008072459348458239
none,global_shrink,q00_q50,5544704,9122679.177062988,6227781.9726513075,6278837.528498993,0.008131370753893474
none,global_shrink,q50_q90,4061728,12118261.292545319,7281695.241681379,7345827.850183189,0.00873048073134608
none,global_shrink,q90_q99,1300992,5965381.824459076,3317561.9246089235,3354649.5665766574,0.01105559350736629
none,global_shrink,q99_q100,121000,828618.9301757812,412218.74689752125,415573.44665191753,0.008072459348458239
row_activity,clock_predabs_shrink,q00_q50,5544704,9122679.177062988,6228141.0641121995,6278837.528498993,0.008074179998556752
row_activity,clock_predabs_shrink,q50_q90,4061728,12118261.292545319,7281858.583449027,7345827.850183189,0.008708244739572435
row_activity,clock_predabs_shrink,q90_q99,1300992,5965381.824459076,3317989.531025414,3354649.5665766574,0.010928126715975983
row_activity,clock_predabs_shrink,q99_q100,121000,828618.9301757812,412316.21750333864,415573.44665191753,0.007837914512635158
row_activity,clock_shrink,q00_q50,5544704,9122679.177062988,6228065.929591956,6278837.528498993,0.008086146309183917
row_activity,clock_shrink,q50_q90,4061728,12118261.292545319,7282316.630094659,7345827.850183189,0.008645890073090468
row_activity,clock_shrink,q90_q99,1300992,5965381.824459076,3317695.0690918714,3354649.5665766574,0.011015903971900443
row_activity,clock_shrink,q99_q100,121000,828618.9301757812,412247.03936011874,415573.44665191753,0.008004378813415758
row_activity,clock_simplex,q00_q50,5544704,9122679.177062988,6227958.3584627975,6278837.528498993,0.008103278641191203
row_activity,clock_simplex,q50_q90,4061728,12118261.292545319,7282694.4860157445,7345827.850183189,0.008594451905903244
row_activity,clock_simplex,q90_q99,1300992,5965381.824459076,3317952.1464361553,3354649.5665766574,0.010939270827608705
row_activity,clock_simplex,q99_q100,121000,828618.9301757812,412047.4747546027,415573.44665191753,0.008484593820230701
row_activity,clock_simplex_tail_q90_q100,q00_q50,5544704,9122679.177062988,6227781.9726513075,6278837.528498993,0.008131370753893474
row_activity,clock_simplex_tail_q90_q100,q50_q90,4061728,12118261.292545319,7281695.241681379,7345827.850183189,0.00873048073134608
row_activity,clock_simplex_tail_q90_q100,q90_q99,1300992,5965381.824459076,3317952.1464361553,3354649.5665766574,0.010939270827608705
row_activity,clock_simplex_tail_q90_q100,q99_q100,121000,828618.9301757812,412047.4747546027,415573.44665191753,0.008484593820230701
row_activity,clock_simplex_tail_q99_q100,q00_q50,5544704,9122679.177062988,6227781.9726513075,6278837.528498993,0.008131370753893474
row_activity,clock_simplex_tail_q99_q100,q50_q90,4061728,12118261.292545319,7281695.241681379,7345827.850183189,0.00873048073134608
row_activity,clock_simplex_tail_q99_q100,q90_q99,1300992,5965381.824459076,3317561.9246089235,3354649.5665766574,0.01105559350736629
row_activity,clock_simplex_tail_q99_q100,q99_q100,121000,828618.9301757812,412047.4747546027,415573.44665191753,0.008484593820230701
row_activity,clock_weight_shrink,q00_q50,5544704,9122679.177062988,6229190.096623923,6278837.528498993,0.007907105678356174
row_activity,clock_weight_shrink,q50_q90,4061728,12118261.292545319,7282922.423550557,7345827.850183189,0.008563422382824148
row_activity,clock_weight_shrink,q90_q99,1300992,5965381.824459076,3318016.2932083425,3354649.5665766574,0.010920149077060848
row_activity,clock_weight_shrink,q99_q100,121000,828618.9301757812,412386.5735798556,415573.44665191753,0.007668615735045292
