left,right,interaction,alpha,valid_r2,valid_corr
feature_04,feature_57,sign_product,0.0003331954463437459,-0.000010564167584492523,-0.014011689950752469
feature_57,feature_22,z_diff,0.004528591207938585,-0.00002100284594663826,0.004132926405461551
feature_06,feature_57,sign_product,0.0010797993999727624,-0.00002446967715874493,-0.009472615043236949
feature_04,feature_57,rank_product,0.014969587065485469,-0.000026558354041528176,-0.007975020085949925
feature_06,feature_22,rank_diff,-0.03935442133751135,-0.000027288882189502317,-0.008443963889967068
feature_57,feature_22,abs_z_diff,-0.00547478075767413,-0.00002820276869908156,-0.009715328982189336
feature_49,feature_57,z_product,-0.00602264032843179,-0.00003262349523813768,-0.004984539816128304
feature_06,feature_22,z_diff,-0.012353749473069832,-0.00003359715497941451,-0.009753404161886772
feature_36,feature_06,rank_diff,0.005442812384696215,-0.000044703057007655644,-0.007664921700891163
feature_49,feature_37,sign_product,-0.0014963950136535537,-0.00004996411928215316,0.014520066868459056
feature_57,feature_22,rank_diff,0.0082329255086083,-0.00005264573903551728,-0.003811461578539433
feature_06,feature_47,z_product,-0.01171653104157409,-0.00005355288574948602,-0.0190584080234175
feature_57,feature_22,z_product,-0.011050861963057988,-0.000059095266375042144,-0.005126449184298162
feature_04,feature_57,z_product,0.0017424980746398955,-0.00005962507281975782,-0.011750002481897105
feature_06,feature_49,rank_diff,-0.03854026753989939,-0.00006787305075106609,-0.006121120247783536
feature_36,feature_47,sign_product,0.0025080758848162877,-0.00007081744949077873,-0.011567899303663497
feature_36,feature_57,sign_product,0.010352853327886541,-0.0000750167135037394,0.002517057480437703
feature_47,feature_22,abs_z_diff,-0.004910451403130377,-0.00010149722145280649,-0.001907178934459834
feature_36,feature_06,sign_product,0.0043466598624237966,-0.00012027078364962307,-0.010006020392632415
feature_57,feature_47,rank_diff,0.03606438908639228,-0.00012202125219684667,0.0012206719750234578
feature_04,feature_06,rank_diff,0.018723352569392088,-0.00012790195750223,-0.0037160156181816175
feature_06,feature_47,rank_diff,-0.03421476243706598,-0.0001282609975443716,-0.004104479387414781
feature_57,feature_37,sign_product,0.006058318650173193,-0.0001381949960224116,-0.005856575166732355
feature_49,feature_37,z_diff,-0.007067852771647372,-0.00013942295420132922,-0.001906937652337411
feature_49,feature_57,rank_diff,-0.027323112649474613,-0.00014523372543706614,0.000696543926415856
feature_04,feature_22,abs_z_diff,-0.005518125560460824,-0.0001585222392934682,0.0010976750101611902
feature_36,feature_22,abs_z_diff,-0.00580014388853009,-0.00015944907166409727,0.0006171591054438798
feature_36,feature_37,sign_product,-0.006870776960378968,-0.0001716296957259278,0.007264042525929503
feature_04,feature_06,abs_z_diff,-0.009944814481632806,-0.0001750457015465834,-0.006485150096652478
feature_36,feature_06,z_product,-0.008848137977886186,-0.0001871362127696674,-0.0018332366758572398
feature_36,feature_49,sign_product,0.005663736567657309,-0.00019239471062348912,-0.012574448316974627
feature_06,feature_57,z_diff,-0.0208329166023106,-0.00019913632975265827,-0.014457033435527459
feature_06,feature_37,sign_product,-0.0035276893458122903,-0.00020413107376171524,0.023695604544013118
feature_36,feature_06,z_diff,0.005108678329339192,-0.00020518129137570007,-0.008292770297275836
feature_06,feature_22,z_product,-0.0057902477205995125,-0.00022566993506467625,0.010508133890769314
feature_37,feature_47,sign_product,0.009234424797875502,-0.00023146806569873668,-0.005050388792547025
feature_36,feature_49,z_product,0.0029152552759303643,-0.00025060030597656713,-0.011255723110030527
feature_57,feature_37,z_product,0.013229225562813104,-0.0002672367077836135,0.009470547078015605
feature_49,feature_22,abs_z_diff,-0.005593229266064292,-0.00028884521953753683,0.008670401302615195
feature_04,feature_06,z_diff,0.01018823960210388,-0.00029607435037082297,-0.0015745231418924051
feature_06,feature_49,sign_product,-0.008247506974222473,-0.00031798280187533834,0.012015073025813531
feature_04,feature_37,abs_z_diff,-0.013940126158716027,-0.0003239684943203702,-0.012740651600815101
feature_57,feature_37,rank_product,0.12626048165451756,-0.0003269305823998536,-0.0033793193499678928
feature_49,feature_47,z_diff,-0.011861494698259822,-0.0003271622583613798,0.005922990397484066
feature_36,feature_04,abs_z_diff,-0.006056245605082272,-0.000332444449380187,0.016153502529532127
feature_06,feature_49,rank_product,-0.12459513642580995,-0.00034154317113577193,0.0040057139062131975
feature_49,feature_57,z_diff,-0.005860072849808806,-0.0003535007279173996,0.014785642905016012
feature_47,feature_22,sign_product,-0.02011970460119464,-0.00036047422145224495,-0.0034070398923960786
feature_06,feature_49,abs_z_diff,-0.011505566264834835,-0.00037978793879478445,-0.0006011574093285817
feature_06,feature_57,rank_diff,-0.051835678188774915,-0.0003807022006732108,-0.004917667699182592
feature_57,feature_47,abs_z_diff,-0.01208764102835408,-0.00039050603643953075,0.004023330931664332
feature_04,feature_57,abs_z_diff,-0.00859510509234374,-0.0004033858158674075,0.008268814950121753
feature_36,feature_57,abs_z_diff,-0.011758686164782277,-0.0004060234432901044,-0.0014745382221589933
feature_36,feature_37,rank_product,-0.12264311448101624,-0.000451890869301641,0.013566626490054263
feature_57,feature_47,rank_product,-0.1422546564071268,-0.0004592749893972403,0.006037100853199506
feature_06,feature_57,abs_z_diff,-0.012749044987243838,-0.0004612668513350737,-0.002574508781000802
feature_47,feature_22,rank_product,-0.27575535274342544,-0.0005402823534141898,-0.003935136327656052
feature_37,feature_47,rank_product,0.18598513130932406,-0.0005953163138492368,-0.003459742940023932
feature_57,feature_37,abs_z_diff,-0.010308067132867534,-0.0006027734531037776,0.0006055293853650042
feature_04,feature_47,abs_z_diff,-0.0069220741094729735,-0.0006466463336154415,0.027164147268176494
feature_49,feature_22,z_product,-0.02427501423322634,-0.0006647052568373724,-0.008632261809843542
feature_36,feature_57,rank_product,0.20273912643827566,-0.0006990002822919728,-0.007854038221294744
feature_06,feature_47,abs_z_diff,-0.012347253843671939,-0.0007206971757054426,0.007537928240478582
feature_36,feature_49,rank_product,0.11490577048538633,-0.000738626539590781,-0.025398536666880807
feature_04,feature_49,abs_z_diff,-0.008263017788516201,-0.0007961583271012262,0.02457411840091343
feature_49,feature_37,abs_z_diff,-0.011784936338651662,-0.0008157865134841291,0.00465689865755466
feature_06,feature_49,z_product,-0.005199861551836932,-0.0009210340684004947,0.008496663537779047
feature_49,feature_57,abs_z_diff,-0.014454622364406257,-0.0010028297702724398,0.012693286166552499
