baseline_model,residual_feature,residual_transform,alpha,baseline_valid_r2,final_valid_r2,delta_r2
ridge_rank_alpha10000,feature_27,square_z,0.0013807022423746474,0.001633463481775732,0.001653501638585353,0.000020038156809620844
ridge_rank_alpha10000,feature_39,sign,0.0034344718485835074,0.001633463481775732,0.0016534655991863323,0.000020002117410600206
ridge_rank_alpha10000,feature_49,signed_tail05,0.013437243744272877,0.001633463481775732,0.0016533921135342133,0.000019928631758481252
ridge_rank_alpha10000,feature_49,z,0.00041618361695913594,0.001633463481775732,0.0016533345877014494,0.00001987110592571728
ridge_rank_alpha10000,feature_15,rank,0.004085438679229174,0.001633463481775732,0.0016532439828274015,0.000019780501051669397
ridge_rank_alpha10000,feature_33,sign,-0.0055399360003168,0.001633463481775732,0.0016527411132734038,0.0000192776314976717
ridge_rank_alpha10000,feature_13,positive_indicator,0.00170000276522217,0.001633463481775732,0.0016526678357472457,0.000019204353971513655
ridge_rank_alpha10000,feature_68,sign,0.0032473681544696953,0.001633463481775732,0.0016525461212886228,0.000019082639512890687
ridge_rank_alpha10000,feature_31,signed_tail05,-0.033428309684082565,0.001633463481775732,0.0016524713127885615,0.000019007831012829435
ridge_rank_alpha10000,feature_25,sign,-0.0023175102425964343,0.001633463481775732,0.0016513134824595044,0.000017850000683772294
ridge_rank_alpha10000,feature_75,z,0.0007248165283212283,0.001633463481775732,0.0016507993423291456,0.000017335860553413518
ridge_rank_alpha10000,feature_46,square_z,-0.0010488318462081874,0.001633463481775732,0.0016504647055477495,0.000017001223772017404
ridge_rank_alpha10000,feature_23,sign,-0.0011450999274366775,0.001633463481775732,0.0016504398096579553,0.000016976327882223252
ridge_rank_alpha10000,feature_14,sign,-0.0025125897826369405,0.001633463481775732,0.0016503793931988975,0.000016915911423165397
ridge_rank_alpha10000,feature_16,square_z,0.00007515553866327106,0.001633463481775732,0.0016501761381331193,0.000016712656357387168
ridge_rank_alpha10000,feature_63,square_z,0.0012845706103655795,0.001633463481775732,0.0016500088720419193,0.000016545390266187177
ridge_rank_alpha10000,feature_18,positive_indicator,0.0030034115857249764,0.001633463481775732,0.0016493263201183828,0.000015862838342650676
ridge_rank_alpha10000,feature_17,abs_z,0.002617803554550704,0.001633463481775732,0.0016489089348922237,0.000015445453116491592
ridge_rank_alpha10000,feature_66,rank,-0.004521905373858853,0.001633463481775732,0.0016488977127322446,0.00001543423095651253
ridge_rank_alpha10000,feature_02,bottom05_indicator,-0.01320004418500238,0.001633463481775732,0.0016488184643186354,0.00001535498254290335
ridge_rank_alpha10000,feature_42,top05_indicator,0.02196424397410842,0.001633463481775732,0.0016487181762238068,0.000015254694448074702
ridge_rank_alpha10000,feature_39,bottom05_indicator,-0.006793555448576519,0.001633463481775732,0.001648483910753118,0.000015020428977385869
ridge_rank_alpha10000,feature_66,sign,-0.0026500496551708237,0.001633463481775732,0.0016480917791370508,0.000014628297361318765
ridge_rank_alpha10000,feature_32,bottom05_indicator,-0.016897665144772544,0.001633463481775732,0.00164804551508968,0.000014582033313947917
ridge_rank_alpha10000,feature_53,positive_indicator,0.006243530370195701,0.001633463481775732,0.00164788956862838,0.000014426086852648012
ridge_rank_alpha10000,feature_44,positive_indicator,-0.0036449209085275755,0.001633463481775732,0.0016474734503247879,0.000014009968549055785
ridge_rank_alpha10000,feature_37,rank,0.004666410177831736,0.001633463481775732,0.0016474311526674112,0.000013967670891679163
ridge_rank_alpha10000,feature_01,abs_z,0.0038379793020833683,0.001633463481775732,0.0016473389151954176,0.000013875433419685557
ridge_rank_alpha10000,feature_17,signed_tail05,0.006650775504566691,0.001633463481775732,0.0016473225574952233,0.000013859075719491187
ridge_rank_alpha10000,feature_50,sign,0.00032880291563350917,0.001633463481775732,0.001647190516204322,0.000013727034428590024
ridge_rank_alpha10000,feature_21,bottom05_indicator,0.00922442806473799,0.001633463481775732,0.0016471805721149924,0.000013717090339260274
ridge_rank_alpha10000,feature_23,bottom05_indicator,0.00664738919748792,0.001633463481775732,0.0016470124335061787,0.000013548951730446568
ridge_rank_alpha10000,feature_72,sign,-0.0012918071951322314,0.001633463481775732,0.0016468556392523759,0.000013392157476643796
ridge_rank_alpha10000,feature_16,abs_z,0.000583406399498796,0.001633463481775732,0.0016468543209496866,0.00001339083917395456
ridge_rank_alpha10000,feature_19,z,-0.0006167001819873625,0.001633463481775732,0.0016467616037928456,0.000013298122017113556
ridge_rank_alpha10000,feature_75,top05_indicator,0.0011028397029312562,0.001633463481775732,0.0016465980582346385,0.000013134576458906366
ridge_rank_alpha10000,feature_20,positive_indicator,-0.002470179986878056,0.001633463481775732,0.0016465675592570728,0.000013104077481340681
ridge_rank_alpha10000,feature_18,abs_z,0.00696635307086744,0.001633463481775732,0.001646398341117572,0.00001293485934183991
ridge_rank_alpha10000,feature_21,z,-0.0008206180779477647,0.001633463481775732,0.0016463682766693077,0.000012904794893575655
ridge_rank_alpha10000,feature_62,sign,-0.0018817848920201212,0.001633463481775732,0.0016455953309992832,0.00001213184922355115
ridge_rank_alpha10000,feature_60,rank,0.002627570928608322,0.001633463481775732,0.0016455940414519254,0.000012130559676193364
ridge_rank_alpha10000,feature_22,sign,-0.0005009939974086341,0.001633463481775732,0.0016452799279592645,0.000011816446183532392
ridge_rank_alpha10000,feature_56,square_z,0.00029931478727665686,0.001633463481775732,0.0016445380524744424,0.000011074570698710318
ridge_rank_alpha10000,feature_34,bottom05_indicator,-0.01911744058596106,0.001633463481775732,0.001644305523815337,0.000010842042039604927
ridge_rank_alpha10000,feature_50,positive_indicator,0.00040568725579421703,0.001633463481775732,0.001644126948413538,0.000010663466637805818
ridge_rank_alpha10000,feature_77,abs_z,0.0004349127407482858,0.001633463481775732,0.0016440938369245428,0.000010630355148810722
ridge_rank_alpha10000,feature_76,bottom05_indicator,-0.010683310070471297,0.001633463481775732,0.0016438298231395976,0.000010366341363865494
ridge_rank_alpha10000,feature_12,bottom05_indicator,-0.0066911567357376255,0.001633463481775732,0.0016432612293898474,9.797747614115337e-6
ridge_rank_alpha10000,feature_13,sign,0.0008136377085945729,0.001633463481775732,0.0016430969649848803,9.633483209148253e-6
ridge_rank_alpha10000,feature_63,signed_tail05,0.015028898567351385,0.001633463481775732,0.0016430158780181836,9.552396242451522e-6
ridge_rank_alpha10000,feature_74,bottom05_indicator,-0.011098880502781334,0.001633463481775732,0.0016421941700974774,8.730688321745284e-6
ridge_rank_alpha10000,feature_62,top05_indicator,0.016657345012647068,0.001633463481775732,0.0016421741255666644,8.710643790932338e-6
ridge_rank_alpha10000,feature_49,positive_indicator,-0.0031787415546389135,0.001633463481775732,0.0016420587146410703,8.595232865338254e-6
ridge_rank_alpha10000,feature_01,top05_indicator,-0.005110502311940075,0.001633463481775732,0.001642050707265863,8.587225490130912e-6
ridge_rank_alpha10000,feature_28,bottom05_indicator,-0.0018078152034948572,0.001633463481775732,0.001641840779372239,8.37729759650685e-6
ridge_rank_alpha10000,feature_65,square_z,0.0038713222343203543,0.001633463481775732,0.0016418282059362799,8.364724160547787e-6
ridge_rank_alpha10000,feature_64,signed_tail05,0.004752616559794491,0.001633463481775732,0.001641662013666778,8.198531891046024e-6
ridge_rank_alpha10000,feature_14,rank,-0.003822214723791986,0.001633463481775732,0.0016411403049977347,7.676823222002582e-6
ridge_rank_alpha10000,feature_07,bottom05_indicator,-0.0019769473238027257,0.001633463481775732,0.0016411217526002275,7.658270824495439e-6
ridge_rank_alpha10000,feature_75,sign,0.002741269818313991,0.001633463481775732,0.0016410145092432549,7.551027467522786e-6
ridge_rank_alpha10000,feature_20,square_z,0.002915255731614266,0.001633463481775732,0.0016409547143473313,7.491232571599227e-6
ridge_rank_alpha10000,feature_47,rank,-0.007782500580278432,0.001633463481775732,0.0016408829680281123,7.419486252380203e-6
ridge_rank_alpha10000,feature_34,abs_z,-0.0014400532383000758,0.001633463481775732,0.0016394051201527038,5.941638376971703e-6
ridge_rank_alpha10000,feature_03,signed_tail05,-0.0022243663446086586,0.001633463481775732,0.0016393785629366109,5.915081160878799e-6
ridge_rank_alpha10000,feature_28,rank,-0.003264336036490917,0.001633463481775732,0.0016390469806094599,5.5834988337277736e-6
ridge_rank_alpha10000,feature_04,abs_z,0.0006693870311146004,0.001633463481775732,0.0016390189818868972,5.555500111165124e-6
ridge_rank_alpha10000,feature_58,rank,0.003350796314612728,0.001633463481775732,0.0016383610344067323,4.897552631000224e-6
ridge_rank_alpha10000,feature_46,positive_indicator,-0.0019150339114396692,0.001633463481775732,0.0016379991697490492,4.5356879733171596e-6
ridge_rank_alpha10000,feature_64,bottom05_indicator,-0.007368764763516234,0.001633463481775732,0.0016379003705065953,4.436888730863231e-6
ridge_rank_alpha10000,feature_74,z,0.000141555063447609,0.001633463481775732,0.0016378272400463523,4.363758270620188e-6
ridge_rank_alpha10000,feature_28,positive_indicator,0.000585597221402249,0.001633463481775732,0.0016377043842817907,4.240902506058575e-6
ridge_rank_alpha10000,feature_28,abs_z,0.0004862634997056223,0.001633463481775732,0.0016376919240013166,4.2284422255844945e-6
ridge_rank_alpha10000,feature_46,rank,-0.000578993532886908,0.001633463481775732,0.0016375530358192503,4.089554043518184e-6
ridge_rank_alpha10000,feature_39,rank,0.0004229283014357012,0.001633463481775732,0.001637500384396029,4.036902620296878e-6
ridge_rank_alpha10000,feature_71,z,0.0014491017127104297,0.001633463481775732,0.0016373920524496155,3.928570673883414e-6
ridge_rank_alpha10000,feature_18,rank,0.0010977776959066655,0.001633463481775732,0.0016373360336172649,3.87255184153279e-6
ridge_rank_alpha10000,feature_16,positive_indicator,0.00041134663136460826,0.001633463481775732,0.0016371675549075038,3.704073131771679e-6
ridge_rank_alpha10000,feature_42,abs_z,-0.0021312221052075257,0.001633463481775732,0.0016370508641656567,3.5873823899246204e-6
ridge_rank_alpha10000,feature_29,z,-0.0003355127632647292,0.001633463481775732,0.0016369541088196993,3.490627043967187e-6
ridge_rank_alpha10000,feature_70,bottom05_indicator,-0.008723150190640324,0.001633463481775732,0.0016368961561666895,3.432674390957402e-6
ridge_rank_alpha10000,feature_72,signed_tail05,-0.018564386866354306,0.001633463481775732,0.001636767222622404,3.303740846671843e-6
ridge_rank_alpha10000,feature_09,bottom05_indicator,0.0032642805764155638,0.001633463481775732,0.0016367650694194547,3.30158764372257e-6
ridge_rank_alpha10000,feature_44,top05_indicator,0.0016552625050868005,0.001633463481775732,0.0016367420363972984,3.278554621566343e-6
ridge_rank_alpha10000,feature_71,bottom05_indicator,-0.026547866340109364,0.001633463481775732,0.0016366084309863416,3.1449492106094823e-6
ridge_rank_alpha10000,feature_45,abs_z,0.0013854030599736284,0.001633463481775732,0.0016364076285657614,2.9441467900293006e-6
ridge_rank_alpha10000,feature_34,sign,-0.0014134394901615852,0.001633463481775732,0.0016361395529361777,2.676071160445659e-6
ridge_rank_alpha10000,feature_55,abs_z,0.0021843856555658,0.001633463481775732,0.001635970457938396,2.506976162663932e-6
ridge_rank_alpha10000,feature_51,bottom05_indicator,-0.0452497732921326,0.001633463481775732,0.001635919034511657,2.455552735924904e-6
ridge_rank_alpha10000,feature_22,positive_indicator,-0.0003843705510463843,0.001633463481775732,0.001635918964161709,2.455482385976815e-6
ridge_rank_alpha10000,feature_22,bottom05_indicator,-0.0029491747204288834,0.001633463481775732,0.0016358575794196417,2.3940976439096318e-6
ridge_rank_alpha10000,feature_65,z,-0.0003449855173887427,0.001633463481775732,0.0016356805857596912,2.2171039839591344e-6
ridge_rank_alpha10000,feature_15,z,0.0002672014371776637,0.001633463481775732,0.0016356727075227395,2.2092257470074372e-6
ridge_rank_alpha10000,feature_28,sign,0.0006187472404357338,0.001633463481775732,0.0016355888275355612,2.1253457598291448e-6
ridge_rank_alpha10000,feature_11,bottom05_indicator,0.0005928385761069581,0.001633463481775732,0.0016354187236523599,1.955241876627767e-6
ridge_rank_alpha10000,feature_23,positive_indicator,-0.0009399008718519681,0.001633463481775732,0.001635393902290283,1.9304205145509457e-6
ridge_rank_alpha10000,feature_61,abs_z,0.00008652644973098758,0.001633463481775732,0.0016353208104837869,1.857328708054773e-6
ridge_rank_alpha10000,feature_35,positive_indicator,0.0007870442909029467,0.001633463481775732,0.0016352050147838693,1.741533008137175e-6
ridge_rank_alpha10000,feature_35,abs_z,-0.0004197169443046956,0.001633463481775732,0.0016349509586316424,1.4874768559103302e-6
ridge_rank_alpha10000,feature_43,positive_indicator,-0.006451103410841644,0.001633463481775732,0.0016346848095641908,1.221327788458737e-6
ridge_rank_alpha10000,feature_47,signed_tail05,0.00039006833899535455,0.001633463481775732,0.0016346724414603164,1.2089596845843431e-6
ridge_rank_alpha10000,feature_16,sign,0.00016400118931501992,0.001633463481775732,0.0016346118199923598,1.1483382166277423e-6
ridge_rank_alpha10000,feature_29,square_z,0.00015996387028543145,0.001633463481775732,0.0016344858623694725,1.0223805937403796e-6
ridge_rank_alpha10000,feature_15,abs_z,0.00017444000179446444,0.001633463481775732,0.0016343202845713334,8.568027956012969e-7
ridge_rank_alpha10000,feature_46,top05_indicator,0.00042037515242701953,0.001633463481775732,0.0016341990207943136,7.35539018581477e-7
ridge_rank_alpha10000,feature_78,abs_z,0.000032101661380002424,0.001633463481775732,0.0016340512300027088,5.877482269767142e-7
ridge_rank_alpha10000,feature_30,z,-0.0008464103353416498,0.001633463481775732,0.001633979815988229,5.163342124969716e-7
ridge_rank_alpha10000,feature_71,abs_z,0.0003126513469428729,0.001633463481775732,0.0016338835547717867,4.2007299605462123e-7
ridge_rank_alpha10000,feature_64,top05_indicator,0.0005246986190226927,0.001633463481775732,0.001633862899398597,3.994176228649948e-7
ridge_rank_alpha10000,feature_68,signed_tail05,0.0003429169355100643,0.001633463481775732,0.0016338184774317144,3.549956559822931e-7
