fold,train_start,train_end,valid_start,valid_end,clock,strategy,rows,numerator,denominator,weighted_zero_mean_r2,prediction_mean,prediction_std
rw_01,1539,1658,1659,1678,symbol_weight_cum,clock_weight_shrink,740520,956909.3505474399,960511.5364725839,0.0037502786675241984,-0.005247003319940433,0.027420714183414407
rw_01,1539,1658,1659,1678,symbol_weight_cum,clock_predabs_shrink,740520,956664.7709414333,960511.5364725839,0.004004913408200861,-0.005614700630369468,0.028112790652995105
rw_01,1539,1658,1659,1678,symbol_weight_cum,clock_simplex,740520,956639.3818348772,960511.5364725835,0.004031346309411932,-0.0056895693503041765,0.03061732934774553
rw_01,1539,1658,1659,1678,batch_missing,clock_shrink,740520,956461.8874077763,960511.5364725839,0.004216137871367653,-0.00514858425801122,0.029966075516992537
rw_01,1539,1658,1659,1678,batch_missing,clock_weight_shrink,740520,956752.4393929499,960511.5364725839,0.003913640739224289,-0.0043967294730548,0.02735752530547505
rw_01,1539,1658,1659,1678,batch_missing,clock_predabs_shrink,740520,956461.8874077763,960511.5364725839,0.004216137871367653,-0.00514858425801122,0.029966075516992537
rw_01,1539,1658,1659,1678,batch_missing,clock_simplex,740520,956158.6860128868,960511.5364725839,0.004531804454616539,-0.005235216955052683,0.032029914463542426
rw_02,1559,1678,1679,1698,none,base_ensemble,752136,797646.0701033063,800877.1940120393,0.004034481107579757,-0.0007655883812137637,0.03625227471592013
rw_02,1559,1678,1679,1698,none,global_shrink,752136,797646.0701033063,800877.1940120393,0.004034481107579757,-0.0007655883812137637,0.03625227471592013
rw_02,1559,1678,1679,1698,clock_time,clock_shrink,752136,797773.3843042653,800877.1940120393,0.0038755126640894755,-0.0007195234559355887,0.034798729316496205
rw_02,1559,1678,1679,1698,clock_time,clock_weight_shrink,752136,797909.6033574141,800877.1940120393,0.00370542534712337,-0.000778382202370047,0.03407028021750338
rw_02,1559,1678,1679,1698,clock_time,clock_predabs_shrink,752136,797750.5576096333,800877.1940120393,0.0039040147800225578,-0.0009352034444888369,0.035193193575476726
rw_02,1559,1678,1679,1698,clock_time,clock_simplex,752136,797956.7047928474,800877.1940120393,0.0036466130400861774,-0.000817966820150807,0.037705059783078365
rw_02,1559,1678,1679,1698,row_activity,clock_shrink,752136,797677.9561083072,800877.1940120393,0.003994667256917772,-0.0007341933254960479,0.035936817630471025
rw_02,1559,1678,1679,1698,row_activity,clock_weight_shrink,752136,797747.3211407586,800877.1940120393,0.003908055935019861,-0.0004979383854367528,0.03541079731270254
rw_02,1559,1678,1679,1698,row_activity,clock_predabs_shrink,752136,797776.6882960676,800877.1940120393,0.0038713871978792724,-0.000635241982003352,0.03511784683608185
rw_02,1559,1678,1679,1698,row_activity,clock_simplex,752136,798017.2665656976,800877.1940120393,0.003570993740019901,-0.0007497417646858854,0.033122231350241886
rw_02,1559,1678,1679,1698,symbol_activity_ewm,clock_shrink,752136,797726.6003474998,800877.1940120393,0.003933928557456445,-0.0008413856261486941,0.03569762135449938
rw_02,1559,1678,1679,1698,symbol_activity_ewm,clock_weight_shrink,752136,797765.9173086522,800877.1940120393,0.003884836185434448,-0.0006025170258364303,0.03531864378953033
rw_02,1559,1678,1679,1698,symbol_activity_ewm,clock_predabs_shrink,752136,797739.8291201307,800877.1940120393,0.003917410703371149,-0.0006828083887165147,0.03532782480767435
rw_02,1559,1678,1679,1698,symbol_activity_ewm,clock_simplex,752136,798110.8064044914,800877.1940120395,0.003454197008269988,-0.0015876016522640226,0.032740056262333124
rw_02,1559,1678,1679,1698,batch_activity,clock_shrink,752136,797679.3694765075,800877.1940120393,0.003992902481730232,-0.0007357696401110915,0.035872248022980856
rw_02,1559,1678,1679,1698,batch_activity,clock_weight_shrink,752136,797939.5459047643,800877.1940120393,0.003668038157708886,-0.0007456354091397477,0.03133577632233071
rw_02,1559,1678,1679,1698,batch_activity,clock_predabs_shrink,752136,797718.6614553047,800877.1940120393,0.003943841303448492,-0.0006997277651777148,0.03560865902159158
rw_02,1559,1678,1679,1698,batch_activity,clock_simplex,752136,798260.8462359315,800877.1940120395,0.0032668526406667286,-0.0008593550373371536,0.030825255288654076
rw_02,1559,1678,1679,1698,batch_weight,clock_shrink,752136,798077.593599684,800877.1940120393,0.003495667542149139,-0.0010256124474260799,0.028978092975621542
rw_02,1559,1678,1679,1698,batch_weight,clock_weight_shrink,752136,798353.5944667694,800877.1940120393,0.0031510443350595274,-0.0010196475164811322,0.027657877974774297
rw_02,1559,1678,1679,1698,batch_weight,clock_predabs_shrink,752136,797679.2486294253,800877.1940120393,0.003993053375129563,-0.000867543644584683,0.03562667057660367
rw_02,1559,1678,1679,1698,batch_weight,clock_simplex,752136,798106.0742786947,800877.1940120393,0.0034601056866940816,-0.001188756638481783,0.030136284951416476
rw_02,1559,1678,1679,1698,symbol_weight_cum,clock_shrink,752136,797774.6474070008,800877.1940120393,0.003873935515002258,-0.0012858381561504234,0.03408384063158669
rw_02,1559,1678,1679,1698,symbol_weight_cum,clock_weight_shrink,752136,797980.6237249442,800877.1940120393,0.0036167471227200876,-0.001099196618267692,0.03369878171940664
