fold,clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_02,row_activity,clock_simplex,q99_q100,19360,147901.09384155273,48886.56119022608,49837.04917171167,0.01907191531767294
rw_02,batch_missing,clock_shrink,q00_q50,1108360,1970575.4931893349,1230979.112353989,1254949.500193345,0.01910067921909442
rw_02,batch_missing,clock_shrink,q50_q90,808280,2789403.2537727356,1510120.530447739,1537107.175513484,0.017556775152474335
rw_02,batch_missing,clock_shrink,q90_q99,246840,1315415.5010414124,565446.5581155259,576753.2216574668,0.019603988529874217
rw_02,batch_missing,clock_shrink,q99_q100,19360,147901.09384155273,48981.866033703234,49837.04917171167,0.017159586135646387
rw_02,batch_missing,clock_weight_shrink,q00_q50,1108360,1970575.4931893349,1229849.4219411237,1254949.500193345,0.020000867165056557
rw_02,batch_missing,clock_weight_shrink,q50_q90,808280,2789403.2537727356,1510905.8811627778,1537107.175513484,0.01704584739964765
rw_02,batch_missing,clock_weight_shrink,q90_q99,246840,1315415.5010414124,565487.386222216,576753.2216574668,0.019533198970046906
rw_02,batch_missing,clock_weight_shrink,q99_q100,19360,147901.09384155273,49040.42996035754,49837.04917171167,0.015984477905371275
rw_02,batch_missing,clock_predabs_shrink,q00_q50,1108360,1970575.4931893349,1232214.824823966,1254949.500193345,0.018116008146842777
rw_02,batch_missing,clock_predabs_shrink,q50_q90,808280,2789403.2537727356,1511323.4043934061,1537107.175513484,0.016774218174776645
rw_02,batch_missing,clock_predabs_shrink,q90_q99,246840,1315415.5010414124,565504.0432396551,576753.2216574668,0.019504318303561474
rw_02,batch_missing,clock_predabs_shrink,q99_q100,19360,147901.09384155273,48972.93798479529,49837.04917171167,0.01733873094972216
rw_02,batch_missing,clock_simplex,q00_q50,1108360,1970575.4931893349,1230329.134913418,1254949.500193345,0.019618610371280876
rw_02,batch_missing,clock_simplex,q50_q90,808280,2789403.2537727356,1508950.0064836268,1537107.175513484,0.018318286114597737
rw_02,batch_missing,clock_simplex,q90_q99,246840,1315415.5010414124,565037.1238326855,576753.2216574668,0.020313883624458517
rw_02,batch_missing,clock_simplex,q99_q100,19360,147901.09384155273,49013.6677757135,49837.04917171167,0.016521471669826204
rw_03,none,base_ensemble,q00_q50,1517824,2569990.8966007233,1717984.830611684,1726011.2826646967,0.004650289446903932
rw_03,none,base_ensemble,q50_q90,670824,2179735.1192474365,1047439.2676415661,1054755.351648092,0.006936285267568731
rw_03,none,base_ensemble,q90_q99,36784,207194.92771148682,114255.78850957162,114900.24255051442,0.005608813581568173
rw_03,none,base_ensemble,q99_q100,4840,36243.3934135437,8073.222597216538,8067.674242885661,-0.0006877266190772335
rw_03,none,global_shrink,q00_q50,1517824,2569990.8966007233,1717984.830611684,1726011.2826646967,0.004650289446903932
rw_03,none,global_shrink,q50_q90,670824,2179735.1192474365,1047439.2676415661,1054755.351648092,0.006936285267568731
rw_03,none,global_shrink,q90_q99,36784,207194.92771148682,114255.78850957162,114900.24255051442,0.005608813581568173
rw_03,none,global_shrink,q99_q100,4840,36243.3934135437,8073.222597216538,8067.674242885661,-0.0006877266190772335
rw_03,row_activity,clock_shrink,q00_q50,1517824,2569990.8966007233,1717987.5822654318,1726011.2826646967,0.004648695219927834
rw_03,row_activity,clock_shrink,q50_q90,670824,2179735.1192474365,1047441.1469551432,1054755.351648092,0.006934503514507084
rw_03,row_activity,clock_shrink,q90_q99,36784,207194.92771148682,114255.78850957162,114900.24255051442,0.005608813581568173
rw_03,row_activity,clock_shrink,q99_q100,4840,36243.3934135437,8073.222597216538,8067.674242885661,-0.0006877266190772335
rw_03,row_activity,clock_weight_shrink,q00_q50,1517824,2569990.8966007233,1717984.830611684,1726011.2826646967,0.004650289446903932
rw_03,row_activity,clock_weight_shrink,q50_q90,670824,2179735.1192474365,1047439.2676415661,1054755.351648092,0.006936285267568731
