fold,time_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
rw_01,2,233800,348980.4,206436.34,203062.91119503308,203062.84254328554,0.01634127253799955,0.016341605094497558,3.3255649801524253e-7
rw_03,7,230300,446225.34,143082.38,140554.3591034559,140554.34708391872,0.017668255063169713,0.01766833906748666,8.400431699258276e-8
rw_03,3,230300,446225.34,125949.87,124423.67858989646,124423.68168967414,0.012117429193724494,0.012117404582522084,-2.461120243142049e-8
rw_03,2,230300,446225.34,167067.88,165376.1488164075,165376.18287450972,0.01012598133299103,0.010125777475114783,-2.0385787634417783e-7
rw_05,3,225000,466046.66,261807.14,258780.4985095348,258780.57035490568,0.011560578936998578,0.011560304516023301,-2.744209752918636e-7
rw_01,1,233800,348980.4,281042.6,277455.2326518295,277455.35540575965,0.012764474773391932,0.01276403799287218,-4.367805197204458e-7
rw_03,1,230300,446225.34,255968.72,254011.0942270532,254011.23744147125,0.0076479053085340976,0.0076473458088469615,-5.594996871392153e-7
rw_01,5,233800,348980.4,175104.83,170879.6253282105,170879.72724982043,0.02412956194316529,0.024128979882630408,-5.820605349057144e-7
rw_03,8,230300,446225.34,179312.19,176119.1648830063,176119.71181272986,0.01780705852463982,0.017804008370987834,-3.0501536520157506e-6
rw_04,9,157896,331305.66,313895.16,308124.74721390556,308125.93988367094,0.018383236954120585,0.018379437374096308,-3.7995800242090253e-6
rw_04,4,232200,487214.22,189955.17,187486.06213582386,187486.79146407385,0.012998381222286137,0.012994541746673138,-3.839475613059623e-6
rw_02,2,230700,431887.38,422825.7,418104.45190989354,418106.3661453031,0.011165914772163554,0.011161387527329203,-4.527244834390611e-6
rw_03,5,230300,446225.34,136945.03,135225.22417404997,135226.16094685206,0.012558375139660516,0.012551534637354256,-6.840502306197721e-6
rw_05,5,225000,466046.66,291459.4,288725.0847729388,288727.18258881214,0.009381483041641214,0.00937428541539087,-7.197626250342313e-6
rw_03,6,230300,446225.34,139241.4,136999.26804873743,137001.17426212554,0.0161025248282608,0.016088834838770993,-0.00001368998948981012
rw_03,4,230300,446225.34,117957.016,116180.14383698135,116181.8300017599,0.015063722819739223,0.015049428080510574,-0.000014294739228579412
rw_02,6,230700,431887.38,393703.4,385270.76423027884,385278.1020486693,0.021418768255122678,0.021400130320388122,-0.000018637934734548564
rw_03,0,230300,446225.34,420638.4,414417.33545382717,414427.7759031574,0.014789592922895056,0.014764772437710794,-0.000024820485184256168
rw_02,7,230700,431887.38,399207.7,394067.5134936602,394081.22986607015,0.012875939435258998,0.012841580446593559,-0.00003435898866539707
rw_01,3,233800,348980.4,166536.58,163743.3182665401,163751.04686585703,0.016772650728798633,0.01672624291014424,-0.000046407818654315756
rw_02,1,230700,431887.38,583361.1,575689.1081870844,575716.8257150041,0.013151402251762256,0.013103888753293047,-0.00004751349846920592
rw_03,9,156604,303433.22,141072.14,139132.53964798735,139139.81350133524,0.01374900081915198,0.013697439587319393,-0.000051561231832684495
rw_01,0,233800,348980.4,698573.8,693073.4836435742,693109.7504744924,0.00787365452011679,0.00782173898840155,-0.000051915531715215436
rw_02,3,230700,431887.38,356106.8,349368.27462873654,349409.2604062411,0.018922799662147605,0.01880770560590972,-0.00011509405623788094
rw_01,4,233800,348980.4,166564.69,162504.60690266083,162526.29121821388,0.024375398280858107,0.02424521273025604,-0.00013018555060208316
rw_05,9,153000,316911.72,385268.62,368725.48042990884,368779.43024801434,0.04293924679200434,0.04279921509825946,-0.0001400316937448386
